mass_A
t,x,y
3.354000000e1,1.140028356e-1,5.342747237e-1
3.356000000e1,1.139239988e-1,5.342690049e-1
3.358000000e1,1.137929094e-1,5.343506919e-1
3.360000000e1,1.136227565e-1,5.344511014e-1
3.362000000e1,1.135201667e-1,5.345127265e-1
3.364000000e1,1.134672583e-1,5.348532574e-1
3.366000000e1,1.130606527e-1,5.352256370e-1
3.368000000e1,1.130227199e-1,5.353971607e-1
3.370000000e1,1.130951782e-1,5.356310341e-1
3.372000000e1,1.131028827e-1,5.357636531e-1
3.374000000e1,1.130572308e-1,5.359064580e-1
3.376000000e1,1.130376843e-1,5.363213242e-1
3.378000000e1,1.129015856e-1,5.366662733e-1
3.380000000e1,1.128718971e-1,5.367763334e-1
3.382000000e1,1.126438123e-1,5.370323126e-1
3.384000000e1,1.124772514e-1,5.372963644e-1
3.386000000e1,1.124854520e-1,5.372818157e-1
3.388000000e1,1.124960500e-1,5.372692298e-1
3.390000000e1,1.125043363e-1,5.372597340e-1
3.392000000e1,1.125099046e-1,5.372499930e-1
3.394000000e1,1.125195398e-1,5.372395803e-1
3.396000000e1,1.125283337e-1,5.372309401e-1
3.398000000e1,1.125357614e-1,5.372234963e-1
3.400000000e1,1.125426461e-1,5.372169442e-1
3.402000000e1,1.125494079e-1,5.372128839e-1
3.404000000e1,1.125552064e-1,5.372095745e-1
3.406000000e1,1.125604886e-1,5.372064169e-1
3.408000000e1,1.125653851e-1,5.372043056e-1
3.410000000e1,1.125696208e-1,5.372020161e-1
3.412000000e1,1.125729150e-1,5.371999513e-1
3.414000000e1,1.125762693e-1,5.371981678e-1
3.416000000e1,1.125794968e-1,5.371956194e-1
3.418000000e1,1.125820655e-1,5.371945112e-1
3.420000000e1,1.125842614e-1,5.371935417e-1
3.422000000e1,1.125862216e-1,5.371926942e-1
3.424000000e1,1.125880741e-1,5.371919519e-1
3.426000000e1,1.125898790e-1,5.371913160e-1
3.428000000e1,1.125915422e-1,5.371907645e-1
3.430000000e1,1.125859212e-1,5.372073980e-1
3.432000000e1,1.125648974e-1,5.372612040e-1
3.434000000e1,1.123689761e-1,5.375119162e-1
3.436000000e1,1.121341231e-1,5.376627290e-1
3.438000000e1,1.119307529e-1,5.379073807e-1
3.440000000e1,1.118528230e-1,5.380597201e-1
3.442000000e1,1.115440005e-1,5.382156458e-1
