mass_A
t,x,y
1.712500000e0,2.630501510e-1,3.781020669e-1
1.716666667e0,2.630501150e-1,3.781020290e-1
1.720833333e0,2.630501651e-1,3.781020818e-1
1.725000000e0,2.630501105e-1,3.781020243e-1
1.729166667e0,2.630501515e-1,3.781020675e-1
1.733333333e0,2.630481962e-1,3.781339713e-1
1.737500000e0,2.626393873e-1,3.781599346e-1
1.741666667e0,2.626389350e-1,3.781864248e-1
1.745833333e0,2.626425244e-1,3.782258538e-1
1.750000000e0,2.626425942e-1,3.782259299e-1
1.754166667e0,2.626425336e-1,3.782258639e-1
1.758333333e0,2.626425650e-1,3.782258981e-1
1.762500000e0,2.626424806e-1,3.782258061e-1
1.766666667e0,2.626425424e-1,3.782258735e-1
1.770833333e0,2.626425458e-1,3.782258772e-1
1.775000000e0,2.626425444e-1,3.782258756e-1
1.779166667e0,2.626424091e-1,3.782257280e-1
1.783333333e0,2.625763030e-1,3.781861572e-1
1.787500000e0,2.629614237e-1,3.781379567e-1
1.791666667e0,2.624108524e-1,3.785270385e-1
1.795833333e0,2.623405814e-1,3.785073337e-1
1.800000000e0,2.623193030e-1,3.785256778e-1
1.804166667e0,2.622966582e-1,3.785370461e-1
1.808333333e0,2.622792268e-1,3.785513014e-1
1.812500000e0,2.622650760e-1,3.785618028e-1
1.816666667e0,2.622494687e-1,3.785794658e-1
1.820833333e0,2.622350365e-1,3.785960741e-1
1.825000000e0,2.622234966e-1,3.786122136e-1
1.829166667e0,2.622125838e-1,3.786291479e-1
1.833333333e0,2.621819957e-1,3.786408926e-1
1.837500000e0,2.621565777e-1,3.786553028e-1
1.841666667e0,2.621380923e-1,3.786769406e-1
1.845833333e0,2.621164291e-1,3.786998208e-1
1.850000000e0,2.621113934e-1,3.787127962e-1
1.854166667e0,2.621100934e-1,3.787375087e-1
1.858333333e0,2.621048703e-1,3.787694976e-1
1.862500000e0,2.621010641e-1,3.787934245e-1
1.866666667e0,2.621010645e-1,3.787934408e-1
1.870833333e0,2.621010663e-1,3.787935053e-1
1.875000000e0,2.621010657e-1,3.787934822e-1
1.879166667e0,2.621010688e-1,3.787935950e-1
1.883333333e0,2.621195292e-1,3.788741870e-1
1.887500000e0,2.616616873e-1,3.794098530e-1
1.891666667e0,2.616999077e-1,3.790697969e-1
1.895833333e0,2.617548463e-1,3.791512586e-1
1.900000000e0,2.617378856e-1,3.791962919e-1
1.904166667e0,2.617175102e-1,3.792351083e-1
1.908333333e0,2.616975629e-1,3.796149460e-1
1.912500000e0,2.616776825e-1,3.796623060e-1
1.916666667e0,2.615576284e-1,3.796376051e-1
1.920833333e0,2.614778581e-1,3.796357333e-1
1.925000000e0,2.614100981e-1,3.796262388e-1
1.929166667e0,2.613584324e-1,3.796275808e-1
1.933333333e0,2.613366783e-1,3.796265938e-1
1.937500000e0,2.613115133e-1,3.796257477e-1
1.941666667e0,2.612894901e-1,3.796292717e-1
1.945833333e0,2.607302529e-1,3.801389347e-1
1.950000000e0,2.607168024e-1,3.801550012e-1
1.954166667e0,2.607026313e-1,3.801729212e-1
1.958333333e0,2.606897117e-1,3.801868733e-1
1.962500000e0,2.606815676e-1,3.802027341e-1
1.966666667e0,2.606161527e-1,3.801961190e-1
1.970833333e0,2.605692635e-1,3.801948954e-1
1.975000000e0,2.605385669e-1,3.801916325e-1
1.979166667e0,2.605112245e-1,3.801883919e-1
1.983333333e0,2.604939283e-1,3.802038868e-1
1.987500000e0,2.604735400e-1,3.802267051e-1
1.991666667e0,2.604469697e-1,3.802626280e-1
1.995833333e0,2.604112811e-1,3.803033338e-1
2.000000000e0,2.603838861e-1,3.803048148e-1
2.004166667e0,2.597898365e-1,3.808734518e-1
2.008333333e0,2.597499431e-1,3.808778988e-1
2.012500000e0,2.597175275e-1,3.808784130e-1
2.016666667e0,2.597050076e-1,3.808883753e-1
2.020833333e0,2.596905312e-1,3.808935232e-1
2.025000000e0,2.596822780e-1,3.809030243e-1
2.029166667e0,2.596699435e-1,3.809073755e-1
2.033333333e0,2.596618463e-1,3.809578177e-1
2.037500000e0,2.596499266e-1,3.809643799e-1
2.041666667e0,2.596324081e-1,3.809866850e-1
2.045833333e0,2.596096957e-1,3.810117545e-1
2.050000000e0,2.596000590e-1,3.810541282e-1
2.054166667e0,2.595843284e-1,3.811146137e-1
2.058333333e0,2.590229492e-1,3.817349394e-1
2.062500000e0,2.590220772e-1,3.817695903e-1
2.066666667e0,2.589653497e-1,3.817629839e-1
2.070833333e0,2.589248684e-1,3.817565701e-1
2.075000000e0,2.588901252e-1,3.817515309e-1
2.079166667e0,2.588551886e-1,3.817381470e-1
2.083333333e0,2.588483137e-1,3.817424274e-1
2.087500000e0,2.588364202e-1,3.817441766e-1
2.091666667e0,2.588240785e-1,3.817453068e-1
2.095833333e0,2.588122064e-1,3.817466010e-1
2.100000000e0,2.588039470e-1,3.817626325e-1
2.104166667e0,2.587902980e-1,3.817787295e-1
2.108333333e0,2.587703063e-1,3.817930161e-1
2.112500000e0,2.587427242e-1,3.818098064e-1
